ANIO;MES;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;REGION;ESTRATO;LLAVE_PANEL;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C308_COD;C309_COD;C310;C311;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;whoraT;C330;C331;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C348;C347_T;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;SEGURO1;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;I339_1;D341_T;I342;D344;I345_1;I348;D347_T;D350;INGTOT;INGTOTP;RESIDENT;fa_fma23
2023;2;28122;1;122;1;1;1;1;2.02211E+17;1;1;2; ;2;61;1;1;20;6;1961;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9112;8121;2; ;1;1;0;0;0;0;0;1;0;38;2;38;1;1; ; ; ;640; ; ;160; ;30; ; ; ; ; ; ; ;1;6;6;5; ;2;2;2;2;2;2;1;1;1; ; ;615; ; ;160; ;30;805;615;1;517.4147477
2023;2;23258;1;87;1;2;1;1;2.02211E+17;2;1;2; ;2;38;2;2;31;12;1984;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9541;4799;2; ;1;1;0;2;2;2;2;2;0;54;1; ;2;2; ; ; ;64; ; ;100; ;30; ; ; ; ; ; ; ;1;5;9;3; ;2;2;2;2;2;2;10;7;1; ; ;65; ; ;100; ;30;195;65;1;663.9270774
2023;2;2456401;1;31;1;1;1;1;2.02211E+19;1;1;2; ;2;38;1;1;30;3;1984;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5311;8690;3;5;2;28;0;5;5;5;5;5;0;42;1; ;2;2;4;720; ; ; ; ;520; ;30; ; ; ; ; ; ; ;1;1;6;5; ;2;2;2;2;2;2;10;7;1;720; ; ; ; ;520; ;30;1270;720;1;683.881807
2023;2;18331;1;84;1;1;1;1;2.02302E+17;1;1;2; ;2;68;1;1;14;11;1954;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7513;1071;2; ;1;2;6;6;6;6;6;6;6;84;1; ;2;2; ; ; ;600;20; ;600; ;20; ; ; ; ; ; ; ;1;5;4;5; ;2;2;2;2;2;2;10;7;1; ; ;667;20; ;600; ;20;1307;687;1;474.1479896
2023;2;17634;1;79;1;5;1;1;2.02302E+17;3;1;2; ;2;30;5;5;28;4;1992;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4120;8510;3;5;1;7;0;6;6;6;6;6;0;40;1; ;2;2;2;250; ; ; ; ;400; ;18; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1;1083; ; ; ; ;400; ;18;1501;1083;1;309.0926913
2023;2;20562;1;16;1;1;1;1;2.02202E+17;1;1;2; ;1;38;1;1;25;7;1984;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3118;7110;2; ;1;1;0;0;0;0;17;6;0;60;2;60;2;2; ; ; ;1500; ; ;300; ;15; ; ; ; ; ; ; ;1;1;9;3; ;2;2;2;2;2;2;10;7;1; ; ;1500; ; ;300; ;15;1815;1500;1;756.8356573
2023;2;1796202;1;43;1;1;1;1;2.02211E+19;1;1;2; ;1;60;1;1;30;7;1962;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4417;2310;3;5;3;85;0;8;8;8;8;8;8;60;1; ;1;2;4;3000; ; ; ; ;1000; ;12; ; ; ; ; ; ; ;1;1;8;2; ;2;2;2;2;2;2;10;7;1;3000; ; ; ; ;1000; ;12;4012;3000;1;260.9640335
2023;2;17524;1;43;1;3;1;1;2.02302E+17;3;1;2; ;2;24;3;3;19;2;1998;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3411;6910;3;5;1;6;0;8;8;8;8;8;0;49;1; ;2;1;4;2200; ; ; ; ;600; ;12; ; ; ; ; ; ; ;1;2;11;5; ;2;2;2;2;2;2;10;7;1;2200; ; ; ; ;600; ;12;2812;2200;1;641.9132373
2023;2;1824201;1;65;1;1;1;1;2.02108E+19;1;1;2; ;2;53;1;1;25;2;1970;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9535;4782;2; ;1;1;0;4;4;4;4;4;0;29;1; ;1;2; ; ; ;1200; ; ;500; ;10; ; ; ; ; ; ; ;1;5;6;5; ;2;2;2;2;2;2;10;7;1; ; ;1200; ; ;500; ;10;1710;1200;1;233.0889908
2023;2;2608502;1;1;1;2;1;1;2.02211E+19;2;1;2; ;2;44;2;2;20;3;1978;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9411;5610;2; ;1;2;10;10;10;10;10;10;10;93;1; ;2;2; ; ; ;600;40; ;200; ;10; ; ; ; ; ; ; ;1;5;9;3; ;2;2;2;2;2;2;10;6;1; ; ;600;30; ;200; ;10;840;630;1;684.149786
